,aRarity,mRarity
1315,173.15,272.79
1316,247.17,108.94
1317,489.3,19497.11
1325,107.1,154.38
1337,232.27,42.34
1340,341.67,99.6
1341,139.18,181.0
1342,133.2,84.69
1351,945.3,133.46
1354,80.25,10.46
1356,163.94,93.73
1357,95.57,43.41
1364,100.9,36.4
1365,132.1,28.57
1368,92.23,28.38
1372,414.49,5446.89
1373,10602.64,166.68
1374,240.89,14.0
1375,140.64,82.09
1376,114.98,94.35
1377,164.52,102.13
1379,170.23,362.41
1381,180.48,27.38
1382,51.86,6.15
1383,178.76,232.33
1385,342.31,2492.61
1387,90.52,34.14
1389,71.71,10.9
1390,2189.95,83.82
1391,1276.99,82.98
1392,71.68,17.64
1394,122.38,161.38
1395,97.15,81.86
1397,306.25,134.6
1408,66.47,8.71
1414,169.22,27.8
1416,154.17,65.23
1436,219.25,106.81
1437,84.26,30.45
1443,261.38,2402.91
1444,170.16,182.96
1445,176.41,120.52
1446,257.84,54.77
1449,98.44,60.13
1452,2329.59,124.76
1453,107.07,72.57
1457,150.63,92.58
1465,132.37,205.23
1466,180.04,120.36
1467,88.84,33.95
1470,80.79,32.4
1471,164.4,460.47
1472,179.35,20.43
1473,73.19,22.82
1478,139.56,42.25
1482,337.34,34.05
1484,925.92,42.09
1485,96.8,11.54
1486,165.13,280.56
1488,346.41,2189.64
1489,324.7,1257.3
1490,168.87,173.97
1493,202.88,61.49
1494,104.32,49.55
1500,177.43,223.74
1501,70.5,3.2
1502,258.02,651.15
1503,277.8,85.12
1506,63.16,12.38
1507,646.6,127.3
1508,175.05,589.8
1509,108.22,32.46
1510,108.62,24.74
1511,59.5,7.89
1512,247.59,101.62
1514,157.83,213.15
1515,132.63,48.03
1516,603.43,225.7
1518,116.19,72.09
1519,748.02,23.08
1520,112.52,119.65
1521,109.88,133.16
1522,103.26,153.05
1523,152.46,267.88
1524,228.46,47.63
1526,199.07,177.12
1527,315.7,153.17
1528,436.63,203.59
1532,135.33,90.09
1533,78.07,13.74
1534,155.69,72.23
1535,195.64,624.15
1536,1477.15,6087.81
