,rarity
76080,110.415
76081,121.618
76082,93.702
76083,74.583
76084,121.332
76085,80.034
76086,524.411
76087,71.115
76088,66.557
76089,76.55
76090,76.504
76091,121.552
76092,101.919
76093,197.971
76094,132.13
76095,84.251
76096,121.056
76097,114.595
76098,123.875
76099,101.876
76100,88.255
76101,287.948
76102,119.025
76103,70.634
76104,77.404
76105,68.797
76106,67.038
76107,69.78
76108,107.801
76109,104.467
76110,75.16
76111,81.631
76112,75.838
76113,100.912
76114,129.537
76115,181.639
76116,296.462
76117,208.155
76118,91.883
76119,177.527
76120,67.885
76121,83.671
76122,85.419
76123,85.728
76124,379.033
76125,239.76
76126,103.342
76127,97.011
76128,143.486
76129,51.46
76130,281.363
76131,59.415
76132,110.838
76133,69.457
76134,124.694
76135,113.293
76136,157.072
76137,5082.537
76138,114.08
76139,80.264
76140,178.836
76141,72.297
76142,77.437
76143,87.219
76144,65.42
76145,82.1
76146,102.395
76147,129.052
76148,112.011
76149,592.437
76150,67.491
76151,107.117
76152,132.395
76153,76.481
76154,106.886
76155,125.02
76156,354.981
76157,129.883
76158,184.494
76159,56.329
76160,71.146
76161,64.916
76162,237.855
76163,81.381
76164,149.497
76165,155.422
76166,89.54
76167,76.057
76168,70.041
76169,81.326
76170,89.216
76171,61.67
76172,69.343
76173,97.008
76174,93.561
76175,159.051
76176,179.544
76177,118.229
76178,327.308
76179,65.047
76180,99.874
76181,82.052
76182,64.043
76183,84.01
76184,151.08
76185,56.021
76186,77.779
76187,81.323
76188,84.492
76189,254.169
76190,269.134
76191,130.517
76192,80.945
76193,201.963
76194,89.466
76195,76.147
76196,137.851
76197,121.54
76198,67.829
76199,95.401
76200,97.964
76201,78.703
76202,101.552
76203,85.614
76204,69.843
76205,79.325
76206,196.996
76207,108.782
76208,243.289
76209,184.668
76210,63.039
76211,82.784
76212,144.7
76213,87.218
76214,69.997
76215,56.26
76216,62.063
76217,82.116
76218,82.658
76219,104.384
76220,76.295
76221,74.949
76222,97.747
76223,71.592
76224,94.482
76225,127.138
76226,59.183
76227,65.996
76228,82.335
76229,98.373
76230,121.311
76231,104.108
76232,79.356
76233,79.589
76234,95.104
76235,129.808
76236,85.116
76237,79.821
76238,127.355
76239,107.094
76240,75.676
76241,59.266
76242,92.114
76243,84.342
76244,77.102
76245,83.537
76246,159.191
76247,120.996
76248,92.179
76249,65.036
76250,236.551
76251,64.033
76252,80.8
76253,113.359
76254,92.249
76255,137.18
76256,51.519
76257,60.56
76258,87.49
76259,209.689
76260,140.724
76261,62.696
76262,63.686
76263,117.001
76264,113.232
76265,70.923
76266,122.703
76267,69.101
76268,249.339
76269,87.004
76270,60.039
76271,84.485
76272,416.87
76273,127.668
76274,66.951
76275,286.279
76276,55.551
76277,75.795
76278,70.272
76279,144.505
76280,203.049
76281,85.433
76282,313.186
76283,97.042
76284,95.582
76285,77.906
76286,84.365
76287,197.322
76288,96.73
76289,551.166
76290,63.659
76291,101.067
76292,69.486
76293,82.686
76294,71.503
76295,83.896
76296,113.206
76297,63.479
76298,81.599
76299,93.981
76300,96.264
76301,98.553
76302,78.921
76303,118.097
76304,120.199
76305,117.26
76306,65.681
76307,745.072
76308,122.269
76309,58.72
76310,164.722
76311,77.977
76312,84.656
76313,238.915
76314,86.508
76315,106.102
76316,76.706
76317,68.545
76318,82.198
76319,72.502
76320,359.367
76321,82.595
76322,134.46
76323,78.809
76324,111.406
76325,100.593
76326,147.81
76327,132.658
76328,71.695
76329,73.645
76330,393.929
76331,169.76
76332,82.041
76333,63.777
76334,94.637
76335,151.447
76336,83.756
76337,69.202
76338,65.483
76339,113.092
76340,113.991
76341,71.49
76342,81.022
76343,109.812
76344,61.388
76345,81.415
76346,109.39
76347,160.287
76348,257.532
76349,152.105
76350,887.031
76351,106.312
76352,75.174
76353,109.637
76354,81.766
76355,111.846
76356,76.474
76357,93.835
76358,100.592
76359,119.441
76360,223.822
76361,279.41
76362,64.217
76363,96.631
76364,94.806
76365,64.667
76366,81.36
76367,81.095
76368,134.886
76369,138.327
76370,90.317
76371,109.697
76372,65.363
76373,61.731
76374,65.747
76375,88.832
76376,70.957
76377,72.021
76378,105.944
76379,221.735
76380,76.943
76381,98.447
76382,108.278
76383,131.876
76384,75.283
76385,403.826
76386,160.288
76387,75.997
76388,97.047
76389,116.752
76390,95.234
76391,115.896
76392,87.074
76393,155.487
76394,246.308
76395,72.901
76396,159.338
76397,135.389
76398,120.415
76399,70.478
76400,126.663
76401,67.626
76402,155.651
76403,130.894
76404,155.98
76405,69.508
76406,72.949
76407,77.716
76408,85.554
76409,311.324
76410,66.39
76411,85.322
76412,130.139
76413,67.869
76414,59.724
76415,118.455
76416,68.757
76417,71.31
76418,73.008
76419,86.871
76420,62.041
76421,73.571
76422,234.562
76423,128.715
76424,78.911
76425,124.611
76426,54.144
76427,223.002
76428,360.583
76429,495.826
76430,107.326
76431,126.856
76432,80.606
76433,97.521
76434,90.078
76435,1133.764
76436,79.111
76437,76.71
76438,115.404
76439,83.437
76440,82.967
76441,385.856
76442,79.911
76443,82.833
76444,880.744
76445,104.721
76446,107.707
76447,81.252
76448,328.703
76449,95.641
76450,88.293
76451,93.749
76452,87.156
76453,89.458
76454,76.818
76455,91.937
76456,90.186
76457,96.663
76458,67.912
76459,77.955
76460,56.913
76461,64.945
76462,199.646
76463,85.183
76464,203.196
76465,52.754
76466,81.268
76467,116.819
76468,232.591
76469,110.623
76470,216.635
76471,79.061
76472,57.992
76473,210.483
76474,98.265
76475,87.057
76476,77.453
76477,71.662
76478,74.911
76479,95.288
76480,227.086
76481,82.967
76482,77.005
76483,70.841
76484,73.259
76485,70.928
76486,81.473
76487,520.509
76488,105.84
76489,74.005
76490,103.828
76491,75.348
76492,66.155
76493,336.542
76494,125.052
76495,139.076
76496,87.965
76497,81.029
76498,67.65
76499,76.865
76500,177.232
76501,326.102
76502,70.184
76503,79.542
76504,72.767
76505,77.508
76506,60.177
76507,359.923
76508,69.504
76509,87.905
76510,96.45
76511,132.378
76512,131.049
76513,114.043
76514,861.399
76515,77.364
76516,68.797
76517,191.864
76518,70.736
76519,235.536
76520,387.507
76521,87.229
76522,93.5
76523,115.794
76524,88.872
76525,113.232
76526,425.218
76527,96.603
76528,112.523
76529,174.397
76530,80.963
76531,135.316
76532,61.685
76533,85.008
76534,755.56
76535,80.057
76536,195.346
76537,73.57
76538,100.171
76539,85.791
76540,195.225
76541,80.729
76542,313.004
76543,99.068
76544,419.409
76545,72.407
76546,119.081
76547,183.761
76548,74.934
76549,99.694
76550,72.442
76551,98.221
76552,75.368
76553,161.962
76554,113.026
76555,92.619
76556,92.619
76557,70.249
76558,81.235
76559,59.349
76560,389.042
76561,114.396
76562,74.123
76563,68.154
76564,111.995
76565,107.085
76566,69.821
76567,84.385
76568,92.759
76569,147.638
76570,104.408
76571,72.564
76572,95.967
76573,72.51
76574,68.319
76575,69.228
76576,71.9
76577,114.072
76578,73.485
76579,84.91
76580,69.667
76581,94.943
76582,182.259
76583,94.728
76584,56.782
76585,120.642
76586,94.646
76587,173.724
76588,401.863
76589,177.235
76590,92.433
76591,126.434
76592,97.83
76593,97.398
76594,80.536
76595,129.085
76596,105.424
76597,74.031
76598,70.799
76599,143.509
76600,219.006
76601,318.303
76602,58.768
76603,66.116
76604,79.43
76605,128.203
76606,95.464
76607,105.406
76608,107.537
76609,438.574
76610,59.293
76611,63.707
76612,82.5
76613,101.473
76614,196.996
76615,106.324
76616,72.33
76617,114.745
76618,71.471
76619,68.813
76620,82.184
76621,66.13
76622,70.475
76623,69.063
76624,113.01
76625,270.539
76626,176.964
76627,117.716
76628,327.588
76629,73.233
76630,187.189
76631,131.756
76632,66.937
76633,224.675
76634,95.241
76635,93.654
76636,61.908
76637,77.048
76638,83.439
76639,135.975
76640,96.429
76641,102.99
76642,71.172
76643,876.891
76644,96.923
76645,93.431
76646,73.34
76647,77.742
76648,88.632
76649,72.092
76650,132.663
76651,121.683
76652,75.349
76653,133.361
76654,159.348
76655,90.874
76656,89.191
76657,83.514
76658,120.851
76659,84.711
76660,137.821
76661,78.889
76662,232.154
76663,78.603
76664,87.206
76665,88.026
76666,104.159
76667,85.983
76668,68.776
76669,64.231
76670,104.046
76671,263.318
76672,98.681
76673,337.648
76674,63.784
76675,64.311
76676,132.208
76677,59.354
76678,86.26
76679,90.355
76680,97.209
76681,88.862
76682,511.008
76683,62.317
76684,61.79
76685,62.664
76686,71.697
76687,121.44
76688,95.173
76689,76.253
76690,120.965
76691,118.698
76692,78.579
76693,79.488
76694,71.54
76695,81.327
76696,125.61
76697,67.407
76698,99.031
76699,87.394
76700,70.257
76701,133.581
76702,67.172
76703,123.337
76704,75.536
76705,98.323
76706,333.227
76707,94.526
76708,105.502
76709,526.055
76710,96.042
76711,164.639
76712,105.243
76713,212.721
76714,133.322
76715,64.606
76716,79.12
76717,66.672
76718,97.305
76719,74.565
76720,75.477
76721,450.21
76722,57.723
76723,161.225
76724,69.746
76725,95.792
76726,201.971
76727,75.065
76728,82.63
76729,364.948
76730,418.428
76731,124.352
76732,177.31
76733,72.393
76734,82.343
76735,170.575
76736,90.906
76737,70.845
76738,157.3
76739,88.249
76740,89.119
76741,81.887
76742,173.13
76743,121.971
76744,118.374
76745,127.29
76746,80.934
76747,80.58
76748,66.645
76749,92.042
76750,112.88
76751,114.268
76752,56.175
76753,95.666
76754,54.397
76755,79.228
76756,104.183
76757,128.862
76758,91.596
76759,68.999
76760,77.913
76761,84.65
76762,74.107
76763,114.405
76764,66.097
76765,81.794
76766,75.216
76767,66.713
76768,63.77
76769,82.351
76770,200.717
76771,73.225
76772,129.75
76773,73.244
76774,66.164
76775,69.804
76776,122.448
76777,116.863
76778,61.918
76779,83.594
76780,80.303
76781,86.595
76782,83.277
76783,82.744
76784,105.005
76785,137.723
76786,84.819
76787,64.718
76788,82.568
76789,67.553
76790,288.138
76791,70.595
76792,67.434
76793,304.277
76794,69.302
76795,93.364
76796,115.565
76797,511.753
76798,165.438
76799,237.789
76800,97.631
76801,121.597
76802,53.844
76803,75.12
76804,4835.03
76805,105.383
76806,69.7
76807,154.337
76808,89.955
76809,87.556
76810,85.617
76811,81.569
76812,59.421
76813,77.451
76814,63.238
76815,244.522
76816,770.35
76817,118.558
76818,106.077
76819,75.869
76820,137.225
76821,94.527
76822,102.681
76823,96.205
76824,105.69
76825,140.508
76826,118.355
76827,880.085
76828,110.007
76829,66.546
76830,80.85
76831,64.339
76832,235.817
76833,239.831
76834,92.359
76835,102.456
76836,90.918
76837,56.152
76838,56.768
76839,82.849
76840,141.877
76841,71.108
76842,101.799
76843,113.54
76844,155.848
76845,80.074
76846,78.036
76847,271.926
76848,105.298
76849,158.379
76850,95.212
76851,65.842
76852,72.023
76853,237.779
76854,93.73
76855,90.702
76856,113.294
76857,65.278
76858,79.019
76859,108.137
76860,85.797
76861,120.915
76862,107.191
76863,78.912
76864,104.169
76865,574.828
76866,80.987
76867,100.936
76868,339.792
76869,87.806
76870,85.458
76871,93.777
76872,81.916
76873,230.099
76874,300.205
76875,60.1
76876,75.75
76877,93.496
76878,78.231
76879,85.834
76880,53.865
76881,60.699
76882,73.769
76883,85.122
76884,111.057
76885,85.309
76886,425.8
76887,88.77
76888,61.541
76889,113.779
76890,61.461
76891,106.322
76892,217.608
76893,166.161
76894,53.479
76895,80.122
76896,186.305
76897,139.552
76898,90.796
76899,165.227
76900,116.579
76901,83.725
76902,256.141
76903,80.192
76904,59.932
76905,163.577
76906,91.235
76907,127.74
76908,83.836
76909,74.991
76910,414.508
76911,53.974
76912,81.344
76913,95.78
76914,71.511
76915,99.58
76916,112.664
76917,177.307
76918,217.616
76919,76.678
76920,337.885
76921,155.152
76922,115.3
76923,165.779
76924,94.553
76925,100.409
76926,135.184
76927,87.245
76928,74.652
76929,100.765
76930,71.264
76931,130.474
76932,218.232
76933,94.768
76934,81.542
76935,66.773
76936,92.336
76937,85.479
76938,88.291
76939,734.691
76940,91.155
76941,202.915
76942,68.788
76943,118.982
76944,71.515
76945,76.256
76946,203.271
76947,330.671
76948,76.587
76949,56.926
76950,60.295
76951,201.942
76952,222.18
76953,79.015
76954,85.113
76955,68.957
76956,570.512
76957,84.765
76958,93.693
76959,101.212
76960,91.298
76961,76.028
76962,60.15
76963,99.654
76964,75.094
76965,142.847
76966,123.881
76967,137.123
76968,525.977
76969,71.836
76970,66.965
76971,70.907
76972,143.442
76973,319.015
76974,102.779
76975,188.48
76976,66.402
76977,212.869
76978,213.85
76979,73.011
76980,95.294
76981,66.542
76982,100.799
76983,85.461
76984,137.437
76985,77.668
76986,171.817
76987,177.897
76988,140.589
76989,74.078
76990,56.596
76991,87.147
76992,75.206
76993,82.696
76994,93.625
76995,72.101
76996,99.546
