,aRarity,mRarity
25404,114.82,62.92
25405,58.15,24.75
25406,78.46,62.1
25407,1130.9,118.63
25408,71.56,21.22
25409,73.31,28.93
25410,82.1,17.75
25411,106.53,64.5
25412,55.05,23.5
25413,145.74,83.0
25414,134.18,137.57
25415,68.75,39.21
25416,72.44,27.56
25417,85.48,38.23
25418,67.42,39.63
25419,273.7,36.9
25420,81.65,49.52
25421,75.72,25.24
25422,107.15,190.27
25423,71.84,46.07
25424,302.61,133.15
25425,104.06,124.24
25426,864.82,60.66
25427,69.15,37.9
25428,84.21,53.64
25429,138.11,29.0
25430,127.53,70.3
25431,123.69,67.17
25432,98.4,47.41
25433,60.21,24.48
25434,79.39,67.21
25435,70.74,61.46
25436,63.79,29.54
25437,81.43,16.19
25438,74.33,22.29
25439,100.04,33.12
25440,91.73,51.3
25441,95.23,59.07
25442,49.43,16.14
25443,57.39,19.03
25444,105.95,56.21
25445,117.36,86.41
25446,322.23,52.28
25447,150.72,59.42
25448,60.72,26.49
25449,54.42,28.34
25450,571.54,51.37
25451,258.43,95.33
25452,58.83,15.53
25453,550.11,258.89
25454,63.24,17.84
25455,138.15,317.09
25456,57.28,16.04
25457,70.75,74.31
25458,83.97,42.17
25459,59.47,15.71
25460,63.29,23.77
25461,55.05,23.5
25462,145.74,83.0
25463,72.44,27.56
25464,134.18,137.57
25465,68.75,39.21
25466,144.91,57.23
25467,87.72,58.76
25468,134.76,92.46
25469,85.0,50.69
25470,89.58,26.7
25471,161.97,114.95
25472,749.51,55.49
25473,64.27,17.86
25474,69.63,23.95
25475,104.04,64.43
25476,279.16,42.73
25477,140.44,78.69
25478,365.86,32.45
25479,71.42,67.86
25480,101.55,68.97
25481,100.39,67.48
25482,110.84,57.88
25483,88.51,99.53
25484,96.97,67.44
25485,105.68,29.99
25486,70.75,23.77
25487,81.44,79.01
25488,106.83,51.03
25489,133.71,113.5
25490,73.38,28.28
25491,146.1,12.73
25492,60.11,15.23
25493,76.08,24.48
25494,75.13,24.57
25495,239.36,187.76
25496,124.27,20.31
25497,127.28,73.5
25498,108.11,65.42
25499,58.94,13.01
25500,105.26,37.8
25501,47.22,14.8
25502,73.08,28.64
25503,115.35,78.36
25504,189.28,57.88
25505,94.01,135.44
25506,78.32,64.03
25507,52.94,13.7
25508,113.58,71.88
25509,52.32,9.19
25510,82.61,31.74
25511,58.97,33.83
25512,121.15,39.78
25513,69.71,44.97
25514,74.26,20.99
25515,94.15,26.14
25516,80.56,70.61
25517,72.24,39.0
25518,89.94,71.81
25519,53.87,16.13
25520,132.46,82.23
