,aRarity,mRarity
1207,7.1,0.74
1208,8.85,0.57
1209,5.12,0.39
1210,11.01,0.36
1211,12.08,0.75
1212,7.24,0.58
1213,10.5,0.56
1214,8.02,0.5
1215,10.89,0.59
1216,6.13,0.49
1217,7.11,0.38
1218,8.67,0.54
1219,9.59,0.59
1220,11.84,0.89
1221,6.45,0.56
1222,7.07,0.4
1223,33.06,1.22
1224,7.51,0.55
1225,7.55,0.34
1226,15.23,0.73
1227,8.16,0.64
1228,9.17,0.66
1229,8.91,0.6
1230,8.66,0.54
1231,5.29,0.38
1232,18.78,0.77
1233,24.89,0.85
1234,7.38,0.46
1235,3.66,0.3
1236,7.73,0.67
1237,21.09,1.13
1238,51.03,1.85
1239,23.71,1.1
1240,5.32,0.47
1241,10.49,0.76
1242,11.03,0.47
1243,16.69,1.02
1244,6.96,0.43
1245,14.71,1.23
1246,6.63,0.41
1247,9.56,0.67
1248,8.75,0.35
1249,7.32,0.45
1250,11.13,0.67
1251,11.66,0.98
1252,5.42,0.41
1253,12.94,1.12
1254,10.59,0.77
1255,11.19,0.58
1256,9.78,0.59
1257,7.71,0.44
1258,10.97,0.82
1259,7.99,0.58
1260,9.2,0.46
1261,9.73,0.62
1262,7.43,0.41
1263,10.66,0.68
1264,7.7,0.36
1265,4.95,0.47
1266,32.5,0.86
1267,8.45,0.48
1268,11.1,0.56
1269,5.04,0.34
1270,9.68,0.56
1271,19.26,1.4
1272,46.63,1.05
1273,10.43,0.79
1274,13.93,0.55
1275,7.75,0.47
1276,53.7,1.33
1277,15.53,0.97
1278,9.72,0.81
1279,20.15,0.82
1280,11.82,0.51
1281,7.08,0.46
1282,27.73,0.64
1283,9.36,0.53
1284,5.88,0.4
1285,16.57,0.97
1286,5.88,0.4
1287,5.39,0.43
1288,8.64,0.5
1289,7.63,0.54
1290,14.49,1.03
1291,16.51,0.8
1292,8.12,0.68
1293,11.89,0.8
1294,6.4,0.46
1295,7.5,0.38
1296,8.73,0.65
1297,12.55,0.96
1298,7.53,0.43
1299,9.91,0.47
1300,7.7,0.52
1301,8.28,0.44
1302,6.26,0.53
1303,6.38,0.35
1304,12.32,0.88
1305,18.17,0.86
1306,6.84,0.43
1307,7.77,0.68
1308,8.49,0.46
1309,13.32,1.0
1310,10.5,0.66
1311,9.78,0.62
1312,18.23,1.12
1313,6.2,0.54
1314,4.33,0.39
1315,10.47,0.58
1316,7.78,0.45
1317,5.3,0.37
1318,12.12,0.64
1319,41.91,1.55
1320,14.32,0.57
1321,5.35,0.5
1322,7.05,0.59
1323,5.63,0.28
1324,7.71,0.5
1325,5.31,0.41
1326,9.15,0.8
1327,17.66,0.69
1328,5.64,0.28
1329,15.48,0.84
1330,6.1,0.37
1331,7.33,0.66
1332,10.57,0.63
1333,9.16,0.54
1334,5.66,0.41
1335,9.44,0.86
1336,10.24,0.51
1337,6.8,0.58
1338,31.85,0.82
1339,6.67,0.43
1340,51.98,1.6
1341,6.6,0.52
1342,10.39,0.47
1343,9.87,0.63
1344,6.17,0.35
1345,17.74,0.38
1346,10.82,0.55
1347,7.49,0.59
1348,9.64,0.39
1349,11.48,0.64
1350,4.92,0.49
1351,7.01,0.6
1352,8.39,0.62
1353,14.81,0.84
1354,7.23,0.6
1355,7.43,0.46
1356,6.62,0.5
1357,11.44,0.64
1358,6.98,0.57
1359,19.76,0.76
1360,10.94,0.6
